date,Hour,Usage,LagRP,LeadRP,LagPF,LeadPF,CO2,Ltype,Wstatus,Dweek
2018-01-01,1,13.72,14.25,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,2,14.3,16.48,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,3,13.76,16.03,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,4,14.47,17.56,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,5,13.89,16.24,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,6,14.18,15.98,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,7,13.79,14.98,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,8,13.64,15.62,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,9,14.44,12.95,15.84,0,67.37,0,Light_Load,Weekday,Monday
2018-01-01,10,15.19,0,74.34,100,0,0,Light_Load,Weekday,Monday
2018-01-01,11,15.59,0,80.64,100,0,0,Light_Load,Weekday,Monday
2018-01-01,12,14.44,0,21.74,100,0,0,Light_Load,Weekday,Monday
2018-01-01,13,15.19,0,69.34,100,0,0,Light_Load,Weekday,Monday
2018-01-01,14,15.84,0,80.46,100,0,0,Light_Load,Weekday,Monday
2018-01-01,15,15.16,0,73.72,100,0,0,Light_Load,Weekday,Monday
2018-01-01,16,15.58,0,77.94,100,0,0,Light_Load,Weekday,Monday
2018-01-01,17,15.49,0,78.41,100,0,0,Light_Load,Weekday,Monday
2018-01-01,18,14.86,0,75.21,100,0,0,Light_Load,Weekday,Monday
2018-01-01,19,15.16,0,53.24,100,0,0,Light_Load,Weekday,Monday
2018-01-01,20,14.9,0,76.36,100,0,0,Light_Load,Weekday,Monday
2018-01-01,21,15.54,0,83.77,100,0,0,Light_Load,Weekday,Monday
2018-01-01,22,14.87,0,77.87,100,0,0,Light_Load,Weekday,Monday
2018-01-01,23,14,12.74,10.08,73.96,0,0,Light_Load,Weekday,Monday
2018-01-01,24,13.86,13.79,0,0,100,0,Light_Load,Weekday,Monday
2018-01-02,1,13.68,14.98,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,2,14.41,17.03,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,3,13.83,15.99,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,4,14.4,16.73,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,5,13.76,15.01,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,6,14.04,15.23,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,7,13.86,14.44,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,8,22.61,17.39,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,9,183.47,95.34,0.18,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,10,209.04,22.26,2.63,99.44,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,11,265.79,73.76,0.25,96.36,0,0,Maximum_Load,Weekday,Tuesday
2018-01-02,12,487.15,269.68,0,87.49,0,0,Maximum_Load,Weekday,Tuesday
2018-01-02,13,43.95,5.54,95.65,99.21,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,14,410.58,167.22,6.52,92.61,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,15,478.19,197.25,0,92.44,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,16,474.18,210.88,0,91.37,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,17,456.56,187.67,0,92.49,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,18,372.89,122.22,1.04,95.03,0,0,Maximum_Load,Weekday,Tuesday
2018-01-02,19,154.47,45.97,2.22,95.85,0,0,Maximum_Load,Weekday,Tuesday
2018-01-02,20,154.9,18.93,2.77,99.26,0,0,Maximum_Load,Weekday,Tuesday
2018-01-02,21,79.24,1.51,62.82,99.98,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,22,22.21,0,104.54,100,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,23,18.93,17.35,15.44,73.72,0,0,Maximum_Load,Weekday,Tuesday
2018-01-02,24,18.29,17.25,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-03,1,18.36,18.26,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,2,18.46,18.32,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,3,18.46,18.64,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,4,18.53,18.97,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,5,18.33,17.42,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,6,18.25,17.28,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,7,18.36,17.79,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,8,28.08,17.47,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,9,326.16,142.56,0,0,100,0.0375,Light_Load,Weekday,Wednesday
2018-01-03,10,364.79,100.59,0.04,96.4,0,0.04,Medium_Load,Weekday,Wednesday
2018-01-03,11,274.86,84.02,0.04,95.63,0,0.03,Maximum_Load,Weekday,Wednesday
2018-01-03,12,279.39,160.91,0,86.66,0,0.0325,Maximum_Load,Weekday,Wednesday
2018-01-03,13,35.32,0.5,97.96,99.99,0,0.0025,Medium_Load,Weekday,Wednesday
2018-01-03,14,217,69.58,6.08,95.22,0,0.025,Medium_Load,Weekday,Wednesday
2018-01-03,15,260.24,93.89,0,94.07,0,0.0325,Medium_Load,Weekday,Wednesday
2018-01-03,16,270.87,100.76,0,93.73,0,0.03,Medium_Load,Weekday,Wednesday
2018-01-03,17,425.2,144.39,0,94.69,0,0.0475,Medium_Load,Weekday,Wednesday
2018-01-03,18,454.1,146.56,1.69,95.17,0,0.05,Maximum_Load,Weekday,Wednesday
2018-01-03,19,156.1,40.82,2.66,96.75,0,0.02,Maximum_Load,Weekday,Wednesday
2018-01-03,20,158.18,11.48,4.21,99.74,0,0.02,Maximum_Load,Weekday,Wednesday
2018-01-03,21,120.85,10.52,32.57,99.62,0,0.015,Medium_Load,Weekday,Wednesday
2018-01-03,22,23.69,0,105.18,100,0,0,Medium_Load,Weekday,Wednesday
2018-01-03,23,19,17.29,15.16,73.96,0,0,Maximum_Load,Weekday,Wednesday
2018-01-03,24,18.47,17.57,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-04,1,18.5,18.61,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,2,18.54,19,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,3,18.54,19.48,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,4,18.58,19.87,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,5,18.5,18.62,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,6,18.47,17.93,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,7,18.46,18.71,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,8,24.77,18.98,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,9,458.89,256.03,0,0,100,0.0525,Light_Load,Weekday,Thursday
2018-01-04,10,508.39,195.62,0,93.33,0,0.0575,Medium_Load,Weekday,Thursday
2018-01-04,11,428.62,139.82,0,95.07,0,0.05,Maximum_Load,Weekday,Thursday
2018-01-04,12,477.79,240.98,0,89.29,0,0.055,Maximum_Load,Weekday,Thursday
2018-01-04,13,36.65,3.85,98.53,99.45,0,0.0025,Medium_Load,Weekday,Thursday
2018-01-04,14,439.52,148.25,1.19,94.75,0,0.0525,Medium_Load,Weekday,Thursday
2018-01-04,15,476.39,168.08,0,94.3,0,0.055,Medium_Load,Weekday,Thursday
2018-01-04,16,474.41,181.98,0,93.37,0,0.0525,Medium_Load,Weekday,Thursday
2018-01-04,17,450.18,159.92,0,94.23,0,0.0525,Medium_Load,Weekday,Thursday
2018-01-04,18,361.09,104.35,5.58,96.07,0,0.0425,Maximum_Load,Weekday,Thursday
2018-01-04,19,204.88,93.39,0.54,90.99,0,0.0225,Maximum_Load,Weekday,Thursday
2018-01-04,20,227.13,91.12,0,92.81,0,0.0225,Maximum_Load,Weekday,Thursday
2018-01-04,21,216.72,83.59,2.81,93.3,0,0.025,Medium_Load,Weekday,Thursday
2018-01-04,22,24.77,0,101.27,100,0,0,Medium_Load,Weekday,Thursday
2018-01-04,23,19.4,20.88,14.65,68.07,0,0,Maximum_Load,Weekday,Thursday
2018-01-04,24,18.53,20.05,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-05,1,18.8,21.49,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,2,18.58,20.23,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,3,18.6,20.23,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,4,18.62,20.12,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,5,18.44,19.08,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,6,18.53,19.62,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,7,18.47,19.23,0,0,100,0,Light_Load,Weekday,Friday
