date,Usage.kWh.,Lagging.Current.Reactive.Power..kVarh.,Leading.Current.Reactive.Power..kVarh.,CO2(tCO2),Lagging.Current.Power.Factor....,Leading.Current.Power.Factor....,NSM,WeekStatus,Day_of_week,Load_Type
01/01/2018 00:15,3.17,2.95,0,0,73.21,100,900,Weekday,Monday,Light_Load
01/01/2018 00:30,4,4.46,0,0,66.77,100,1800,Weekday,Monday,Light_Load
01/01/2018 00:45,3.24,3.28,0,0,70.28,100,2700,Weekday,Monday,Light_Load
01/01/2018 01:00,3.31,3.56,0,0,68.09,100,3600,Weekday,Monday,Light_Load
01/01/2018 01:15,3.82,4.5,0,0,64.72,100,4500,Weekday,Monday,Light_Load
01/01/2018 01:30,3.28,3.56,0,0,67.76,100,5400,Weekday,Monday,Light_Load
01/01/2018 01:45,3.6,4.14,0,0,65.62,100,6300,Weekday,Monday,Light_Load
01/01/2018 02:00,3.6,4.28,0,0,64.37,100,7200,Weekday,Monday,Light_Load
01/01/2018 02:15,3.28,3.64,0,0,66.94,100,8100,Weekday,Monday,Light_Load
01/01/2018 02:30,3.78,4.72,0,0,62.51,100,9000,Weekday,Monday,Light_Load
01/01/2018 02:45,3.46,4.03,0,0,65.14,100,9900,Weekday,Monday,Light_Load
01/01/2018 03:00,3.24,3.64,0,0,66.49,100,10800,Weekday,Monday,Light_Load
01/01/2018 03:15,3.96,4.97,0,0,62.32,100,11700,Weekday,Monday,Light_Load
01/01/2018 03:30,3.31,3.74,0,0,66.27,100,12600,Weekday,Monday,Light_Load
01/01/2018 03:45,3.31,3.85,0,0,65.19,100,13500,Weekday,Monday,Light_Load
01/01/2018 04:00,3.89,5,0,0,61.4,100,14400,Weekday,Monday,Light_Load
01/01/2018 04:15,3.28,3.82,0,0,65.14,100,15300,Weekday,Monday,Light_Load
01/01/2018 04:30,3.56,4.28,0,0,63.95,100,16200,Weekday,Monday,Light_Load
01/01/2018 04:45,3.74,4.54,0,0,63.58,100,17100,Weekday,Monday,Light_Load
01/01/2018 05:00,3.31,3.6,0,0,67.68,100,18000,Weekday,Monday,Light_Load
01/01/2018 05:15,3.56,4.07,0,0,65.84,100,18900,Weekday,Monday,Light_Load
01/01/2018 05:30,3.56,4.1,0,0,65.56,100,19800,Weekday,Monday,Light_Load
01/01/2018 05:45,3.28,3.49,0,0,68.48,100,20700,Weekday,Monday,Light_Load
01/01/2018 06:00,3.78,4.32,0,0,65.85,100,21600,Weekday,Monday,Light_Load
01/01/2018 06:15,3.35,3.64,0,0,67.72,100,22500,Weekday,Monday,Light_Load
01/01/2018 06:30,3.24,3.35,0,0,69.52,100,23400,Weekday,Monday,Light_Load
01/01/2018 06:45,3.89,4.46,0,0,65.73,100,24300,Weekday,Monday,Light_Load
01/01/2018 07:00,3.31,3.53,0,0,68.4,100,25200,Weekday,Monday,Light_Load
01/01/2018 07:15,3.28,3.49,0,0,68.48,100,26100,Weekday,Monday,Light_Load
01/01/2018 07:30,3.85,4.75,0,0,62.97,100,27000,Weekday,Monday,Light_Load
01/01/2018 07:45,3.2,3.6,0,0,66.44,100,27900,Weekday,Monday,Light_Load
01/01/2018 08:00,3.31,3.78,0,0,65.88,100,28800,Weekday,Monday,Light_Load
01/01/2018 08:15,3.78,4.75,0,0,62.27,100,29700,Weekday,Monday,Light_Load
01/01/2018 08:30,3.28,3.74,0,0,65.94,100,30600,Weekday,Monday,Light_Load
01/01/2018 08:45,3.49,4.46,0.18,0,61.63,99.87,31500,Weekday,Monday,Light_Load
01/01/2018 09:00,3.89,0,15.66,0,100,24.11,32400,Weekday,Monday,Light_Load
01/01/2018 09:15,3.6,0,16.96,0,100,20.76,33300,Weekday,Monday,Light_Load
01/01/2018 09:30,4.03,0,21.28,0,100,18.61,34200,Weekday,Monday,Light_Load
01/01/2018 09:45,3.92,0,19.22,0,100,19.98,35100,Weekday,Monday,Light_Load
01/01/2018 10:00,3.64,0,16.88,0,100,21.08,36000,Weekday,Monday,Light_Load
01/01/2018 10:15,4.07,0,22.32,0,100,17.94,36900,Weekday,Monday,Light_Load
01/01/2018 10:30,3.71,0,18,0,100,20.19,37800,Weekday,Monday,Light_Load
01/01/2018 10:45,3.6,0,16.92,0,100,20.81,38700,Weekday,Monday,Light_Load
01/01/2018 11:00,4.21,0,23.4,0,100,17.71,39600,Weekday,Monday,Light_Load
01/01/2018 11:15,3.49,0,5.65,0,100,52.55,40500,Weekday,Monday,Light_Load
01/01/2018 11:30,3.46,0,4.82,0,100,58.31,41400,Weekday,Monday,Light_Load
01/01/2018 11:45,4,0,6.7,0,100,51.26,42300,Weekday,Monday,Light_Load
01/01/2018 12:00,3.49,0,4.57,0,100,60.69,43200,Weekday,Monday,Light_Load
01/01/2018 12:15,3.6,0,12.89,0,100,26.9,44100,Weekday,Monday,Light_Load
01/01/2018 12:30,4.25,0,23.15,0,100,18.06,45000,Weekday,Monday,Light_Load
01/01/2018 12:45,3.67,0,16.67,0,100,21.5,45900,Weekday,Monday,Light_Load
01/01/2018 13:00,3.67,0,16.63,0,100,21.55,46800,Weekday,Monday,Light_Load
01/01/2018 13:15,4.25,0,23.33,0,100,17.92,47700,Weekday,Monday,Light_Load
01/01/2018 13:30,3.64,0,16.74,0,100,21.25,48600,Weekday,Monday,Light_Load
01/01/2018 13:45,3.67,0,16.99,0,100,21.11,49500,Weekday,Monday,Light_Load
01/01/2018 14:00,4.28,0,23.4,0,100,17.99,50400,Weekday,Monday,Light_Load
01/01/2018 14:15,3.64,0,16.67,0,100,21.33,51300,Weekday,Monday,Light_Load
01/01/2018 14:30,3.78,0,18.25,0,100,20.28,52200,Weekday,Monday,Light_Load
01/01/2018 14:45,4.1,0,22.1,0,100,18.24,53100,Weekday,Monday,Light_Load
01/01/2018 15:00,3.64,0,16.7,0,100,21.3,54000,Weekday,Monday,Light_Load
01/01/2018 15:15,3.92,0,19.33,0,100,19.87,54900,Weekday,Monday,Light_Load
01/01/2018 15:30,4.1,0,21.35,0,100,18.86,55800,Weekday,Monday,Light_Load
01/01/2018 15:45,3.6,0,16.81,0,100,20.94,56700,Weekday,Monday,Light_Load
01/01/2018 16:00,3.96,0,20.45,0,100,19.01,57600,Weekday,Monday,Light_Load
01/01/2018 16:15,4,0,20.77,0,100,18.91,58500,Weekday,Monday,Light_Load
01/01/2018 16:30,3.6,0,16.81,0,100,20.94,59400,Weekday,Monday,Light_Load
01/01/2018 16:45,4.07,0,21.64,0,100,18.48,60300,Weekday,Monday,Light_Load
01/01/2018 17:00,3.82,0,19.19,0,100,19.52,61200,Weekday,Monday,Light_Load
01/01/2018 17:15,3.56,0,16.96,0,100,20.54,62100,Weekday,Monday,Light_Load
01/01/2018 17:30,4.1,0,23.51,0,100,17.18,63000,Weekday,Monday,Light_Load
01/01/2018 17:45,3.6,0,17.39,0,100,20.27,63900,Weekday,Monday,Light_Load
01/01/2018 18:00,3.6,0,17.35,0,100,20.32,64800,Weekday,Monday,Light_Load
01/01/2018 18:15,4,0,8.96,0,100,40.77,65700,Weekday,Monday,Light_Load
01/01/2018 18:30,3.42,0,5.47,0,100,53.01,66600,Weekday,Monday,Light_Load
01/01/2018 18:45,3.67,0,16.24,0,100,22.04,67500,Weekday,Monday,Light_Load
01/01/2018 19:00,4.07,0,22.57,0,100,17.75,68400,Weekday,Monday,Light_Load
01/01/2018 19:15,3.53,0,17.39,0,100,19.89,69300,Weekday,Monday,Light_Load
01/01/2018 19:30,3.85,0,20.74,0,100,18.25,70200,Weekday,Monday,Light_Load
01/01/2018 19:45,3.96,0,20.88,0,100,18.63,71100,Weekday,Monday,Light_Load
01/01/2018 20:00,3.56,0,17.35,0,100,20.1,72000,Weekday,Monday,Light_Load
01/01/2018 20:15,4.03,0,22.54,0,100,17.6,72900,Weekday,Monday,Light_Load
01/01/2018 20:30,3.74,0,19.55,0,100,18.79,73800,Weekday,Monday,Light_Load
01/01/2018 20:45,3.56,0,17.42,0,100,20.02,74700,Weekday,Monday,Light_Load
