"date","Hour","Usage","LagRP","LeadRP","LagPF","LeadPF","CO2","LtypeLight_Load","LtypeMaximum_Load","LtypeMedium_Load","WstatusWeekday","WstatusWeekend","DweekFriday","DweekMonday","DweekSaturday","DweekSunday","DweekThursday","DweekTuesday","DweekWednesday"
"2018-01-01"," 2"," 567","1536","   2","  0.000000000000000","100.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01"," 4"," 581","1746","   2","  0.000000000000000","100.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01"," 5"," 463","1520","   2","  0.000000000000000","100.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01"," 6"," 556","1343","   2","  0.000000000000000","100.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01"," 7"," 455","1112","   2","  0.000000000000000","100.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01"," 8"," 443","1317","   2","  0.000000000000000","100.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01"," 9"," 578"," 620"," 407","  0.000000000000000"," 67.370000000000005","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","11"," 763","   2","1844","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","12"," 578","   2"," 575","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","13"," 733","   2","1510","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","14"," 781","   2","1841","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","15"," 731","   2","1670","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","16"," 762","   2","1757","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","17"," 755","   2","1765","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","18"," 609","   2","1702","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","19"," 731","   2","1068","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","21"," 759","   2","1910","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","22"," 610","   2","1756","100.000000000000000","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","23"," 542"," 607"," 114"," 73.959999999999994","  0.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
"2018-01-01","24"," 461"," 870","   2","  0.000000000000000","100.000000000000000","0.0000000000000000000","1","0","0","1","0","0","1","0","0","0","0","0"
